ArticleId,Text,Category
651,wales silent on grand slam talk rhys williams says wales are still not thinking of winning the grand slam despite a third six nations win.   that s the last thing on our minds at the moment   said williams  a second- half replacement in saturday s 24-18 win over france in paris.  we all realise how difficult a task it is to go up to scotland and beat them.  we ve come unstuck there a couple of times recently so our focus is on that game and we ll worry about ireland hopefully after we ve beaten scotland.  with captain gareth thomas ruled out of the rest of the campaign with a broken thumb  williams is vying for his first start in the championship so far.  kevin morgan is probably favourite to replace thomas at full-back  leaving williams and hal luscombe to battle for the right wing berth. a hamstring injury denied luscombe the opportunity to make a third successive start  but the dragons winger is expected to be fit for the trip to murrayfield on 13 march. hooker robin mcbryde is doubtful after picking up a knee injury in paris  but centre sonny parker and flanker colin charvis are set to recover from injury to be in contention for selection. said wales assistant coach scott johnson:  they ve worked through the weekend and the reports are a bit more positive.  so we re getting a couple back and that adds to the depth of the squad.  scotland secured their first win of the campaign on saturday by grinding out an 18-10 win over italy.  matt williams  side has shown little in attack  but johnson insisted the scots will be difficult opposition to break down.  italy are really brave opposition and sometimes it s very hard to win   he said.  so an ugly win can be just as effective as a 30 or 40 point victory.  scotland are a hard side and very underrated so we re not taking anything for granted.  we re not basking in the glory of winning our first three games. we ve got to be diligent in our preparation.  that s my job and we ve got to make sure we re focused.,sport
707,ireland 21-19 argentina an injury-time dropped goal by ronan o gara stole victory for ireland from underneath the noses of argentina at lansdowne road on saturday.  o gara kicked all of ireland s points  with two dropped goals and five penalties  to give the home side a 100% record in their autumn internationals. an impressive argentina appeared in control until the dying seconds. the pumas shocked the irish early on with a try from federico aramburu  and felipe contepomi kicked 14 points. the well-drilled and sharper pumas out-played and out-thought ireland in the early stages. indiscipline allowed argentina s leinster fly-half contepomi to open the scoring in the third minute with a straightforward penalty. he was on the mark again two minutes later when argentina shocked a ragged ireland with the first try of the game. ireland turned the ball over and manuel contepomi broke through an unstructured defence before feeding his midfield partner aramburu to sprint in under the posts. o gara finally got ireland on the board with a dropped goal in the ninth minute only for contepomi to rifle over his second penalty two minutes later. playing into a strong wind and rain  ireland continued to come second best in tight situations  and turnovers began to mount up against a rugged defence. o gara managed to land his second penalty in the 36th minute  but once again contepomi replied in kind four minutes into first-half injury time. the second-half started as the first had ended. o gara rifled over another penalty in the 45th minute  but contepomi matched it three minutes later. the upper-body strength of the pumas never allowed ireland to take control up front  while the three-quarters had no space to manoeuvre. ireland had to rely on o gara s boot to keep in touch rather than any contrived running plays. the munsterman landed two more penalties - one of them from 48 metres - to bring his team to within four points with 13 minutes on the clock remaining. and ireland s chance came when argentina s number eight gonzalo longo was yellow carded with six minutes to go for an offence in the line-out. o gara made no mistake as he rifled over his fifth penalty to set up a tense final few minutes. but ireland showed great composure to get themselves into a position to allow o gara to thump over a massive drop goal to complete a tremendous  if fortuitous  comeback.,sport
1588,wenger signs new deal arsenal manager arsene wenger has signed a new contract to stay at the club until may 2008.  wenger has ended speculation about his future by agreeing a long-term contract that takes him beyond the opening of arsenal s new stadium in two years. he said:  signing a new contract just rubber-stamps my desire to take this club forward and fulfil my ambitions.  i still have so much to achieve and my target is to drive this club on. these are exciting times for arsenal.   the 55-year-old frenchman told arsenal s website www.arsenal.com:  my intention has always been clear. i love this club and am very happy here.  wenger has won the title and the fa cup three times each during his reign. chairman peter hill-wood said:  we are absolutely delighted that arsene has signed an extension to his contract.  since his arrival in 1996  he has revolutionised the club both on and off the pitch.  as well as the six major honours he s won during his time here  arsene has been a leading influence behind all the major initiatives at the club including the construction of our new training centre and also our new stadium.   the club has continued to reap the benefits of arsene s natural eye for unearthing footballing talent.  we currently have a fantastic crop of young players coming through the ranks together with a number of world-class players who are playing a wonderful brand of football.  meanwhile  arsenal director danny fiszman is looking for wenger to stay beyond 2008.  when we come towards the end of his contract we will both review the situation. i m sure we will want him to stay on and i hope he will too   said fiszman.,sport
486,hantuchova in dubai last eight daniela hantuchova moved into the quarter-finals of the dubai open  after beating elene likhotseva of russia 7-5 6-4  and now faces serena williams.  australian open champion williams survived an early scare to beat russia s elena bovina 1-6 6-1 6-4. world number one lindsay davenport and anastasia myskina also progressed. davenport defeated china s jie zheng 6-2 7-5  while french open champion myskina sailed through after her opponent marion bartoli retired hurt. american davenport will now face fellow former wimbledon champion  conchita martinez of spain  who ousted seventh-seeded nathalie dechy of france 6-1 6-2. myskina will face eighth-seed patty schnyder from switzerland  who defeated china s li na 6-3 7-6 (10-8). the other quarter final pits wild card sania mirza of india against jelena jankovic of serbia and montenegro  who both won on tuesday.  before her meeting with martinez  davenport believes there is some room for improvement in her game.  i started well and finished well  but played some so-so games in the middle   she said. williams was also far from content.  i don t know what i was doing there   she said.  it was really windy and i hadn t played in the wind. all my shots were going out of here.  but hantuchova is in upbeat mood ahead of her clash with the younger williams sister  who was handed a first-round bye.  i feel i have an advantage (over serena) because i have already played two matches on these courts   she said.  it is a difficult court to play on. very fast and sometimes you feel you have no control over the ball.,sport
1344,melzer shocks agassi in san jose second seed andre agassi suffered a comprehensive defeat by jurgen melzer in the quarter-finals of the sap open.  agassi was often bamboozled by the austrian s drop shots in san jose  losing 6-3 6-1. defending champion and top seed andy roddick rallied to beat sweden s thomas enqvist 3-6 7-6 (8-6) 7-5. but unseeded cyril saulnier beat the fourth seed vincent spadea 6-2 6-4 and tommy haas overcame eighth seed max mirnyi 6-7 (2-7) 7-6 (7-3) 6-2. melzer has now beaten agassi in two of their three meetings.   i had a good game plan and i executed it perfectly   he said.  it s always tough to come out to play andre.  i didn t want him to play his game. he makes you run like a dog all over the court.  and agassi  who was more than matched for power by his opponent s two-handed backhand  said melzer was an example of several players on the tour willing to take their chances against him.  a lot more guys are capable of it now   said the american.  he played much better than me. that s what he did both times.  i had opportunities to loosen myself up   agassi added.  but i didn t convert on the big points.,sport
1547,hewitt overcomes wobble in sydney lleyton hewitt gave himself the perfect preparation for next week s australian open with victory over ivo minar in the final of the sydney international.  the defending champion brushed aside the czech qualifier 7-5 6-0. the australian world number three strolled to the first five games of the match but was shocked as minar won the next five. the top seed was rattled but recovered to close out the set and raced to victory in exactly an hour.  it was a strange match . . . momentum swings   said hewitt.  i felt like i came out of the blocks extremely well  but then he loosened up a bit.  when he got back to 5-5  i had to try to settle down and take it up a notch  and i was able to do that.   hewitt has now lifted the sydney title four times in the last six years.  it just keeps getting better and better every year   hewitt said.  i ve only played this tournament four times and i ve won it four times.  hewitt went into the final as a short-priced favourite to clinch his 24th career title after dropping only one set all week. he is set to meet frenchman arnaud clement in the first round of the australian open. minar  ranked 158th in the world  was forced to pull out of the australian open qualifying draw to play in his first atp final.  for me  this was a big success   said the 20-year-old.  i was so nervous last night i couldn t sleep. i ve never played a top-10 player before.  i wanted to play qualifying in melbourne  but it s saturday and i m still here. but this is a main draw and i need the points and the money.  alicia molik takes on samantha stosur in an all-australian women s final later on saturday.,sport
1785,serena becomes world number two serena williams has moved up five places to second in the world rankings after her australian open win.  williams won her first grand slam title since 2003 with victory over lindsay davenport  the world number one. men s champion marat safin remains fourth in the atp rankings while beaten finalist lleyton hewitt replaces andy roddick as world number two. roger federer retains top spot  but safin has overtaken hewitt to become the new leader of the champions race. alicia molik  who lost a three-set thriller against davenport in the quarter-finals  is in the women s top 10 for the first time in her career. her rise means australia have a player in the top 10 of the men s and women s rankings for the first time in 21 years. and britain s elena baltacha  who qualified and then reached the third round  has risen to 120 in the world - a leap of 65 places and her highest ranking yet.,sport
1617,ferguson urges henry punishment sir alex ferguson has called on the football association to punish arsenal s thierry henry for an incident involving gabriel heinze.  ferguson believes henry deliberately caught heinze on the head with his knee during united s controversial win. the united boss said it was worse than ruud van nistelrooy s foul on ashley cole for which he got a three-game ban.  we shall present it to the fa and see what they do. the tackle on heinze was terrible   he said. clubs are permitted to ask the fa to examine specific incidents but information is expected to be provided within 48 hours of the game. the clash occurred moments before half-time when a freddie ljungberg challenge left heinze on the ground on the left touchline. henry  following the ball  attempted to hurdle the argentine but his knee collided with the back of heinze s head.  the striker protested his innocence - and referee mike riley deemed the collision accidental. ferguson was also upset by arsenal s overall discipline during the heated encounter between the two arch-rivals and praised his own side s behaviour.  edu produced a terrible tackle on scholes that was a potential leg-breaker   he said.  there were 24 fouls in the game by arsenal  seven on heinze  five on ronaldo  six by vieira - and it was only his sixth foul that got him booked. phil neville got booked for his first challenge.  i am proud of my players for the way they handled that pressure.  we have always been good at being gracious in defeat. what happened on sunday overshadowed our achievement  but then they do it all the time  don t they,sport
1026,henman to face saulnier test british number one tim henman will face france s cyril saulnier in the first round of next week s australian open.  greg rusedski  the british number two  is in the same quarter of the draw and could face andy roddick in the second round if he beats swede jonas bjorkman. local favourite lleyton hewitt will meet france s arnaud clement  while defending champion and world number one roger federer faces fabrice santoro. women s top seed lindsay davenport drew spanish veteran conchita martinez.  henman came from two sets down to defeat saulnier in the first round of the french open last year  so he knows he faces a tough test in melbourne. the seventh seed  who has never gone beyond the quarter-finals in the year s first major and is lined up to meet roddick in the last eight  is looking forward to the match.  he s tough player on any surface  he s got a lot of ability   he said.  we had a really tight one in paris that went my way so i m going to need to play well from the outset because he s a dangerous competitor.  switzerland s federer  seeded one  is the hot favourite having won three of the four grand slam titles in 2004. he has beaten santoro in five of their seven previous encounters  but is taking nothing for granted.  it s a tricky match   federer said.  i played him at the us open and won quite comfortably then. but you never know  if the rhythm is a bit off  he can keep you guessing and make it difficult.  the most important thing  though  is to get used to playing five-set matches and winning them.  the 23-year-old could meet four-time champion andre agassi in the quarter-finals before meeting russian marat safin  the player he beat in last year s final.  eighth-seeded american agassi is set to play a qualifier in round one if he can shake off a hip injury which ruled him out of the kooyong classic. second seed andy roddick will open his campaign against irakli labadze of georgia. the american could meet rusedski in the second round  seventh seed henman in the quarter-finals and hewitt in the last four. hewitt is hoping to become the first australian man to win the event since mark edmondson in 1976. the 23-year-old has never been beyond round four in eight attempts at melbourne park but has at least secured the opposite half of the draw to federer  who beat him in the australian open  wimbledon and us open last year. safin  seeded four  opens his campaign against a qualifier with 16th seed tommy haas  the player he beat in the semi-finals in 2002  a possible fourth-round opponent.  in the women s draw  davenport could encounter eighth-seeded venus williams in the quarter-finals and third-ranked anastasia myskina  the french open champion  in the semi-finals. bronchitis ruled davenport  the 2000 australian open champion  out of her sydney quarter-final on thursday. venus williams  who lost to younger sister serena in the melbourne final two years ago  opens against eleni daniilidou of greece. serena williams  who won her fourth consecutive grand slam at the 2003 australian open  was drawn in the bottom quarter with second seed amelie mauresmo  a runner-up in 1999. serena will open against another frenchwoman camille pin  while mauresmo plays australia s samantha stosur. wimbledon champion maria sharapova  seeded fourth  drew a qualifier in the first round but could meet fellow russian svetlana kuznetsova  the us open winner  in the last eight  1 roger federer (switzerland)  2 andy roddick (us)  3 lleyton hewitt (australia)  4 marat safin (russia)  5 carlos moya (spain)  6 guillermo coria (argentina)  7 tim henman (britain)  8 andre agassi (us)  9 david nalbandian (argentina)  10 gaston gaudio (argentina)  11 joachim johansson (sweden)  12 guillermo canas (argentina)  13 tommy robredo (spain)  14 sebastien grosjean (france)  15 mikhail youzhny (russia)  16 tommy haas (germany)  17 andrei pavel (romania)  18 nicolas massu (chile)  19 vincent spadea (us)  20 dominik hrbaty (slovakia)  21 nicolas kiefer (germany)  22 ivan ljubicic (croatia)  23 fernando gonzalez (chile)  24 feliciano lopez (spain)  25 juan ignacio chela (argentina)  26 nikolay davydenko (russia)  27 paradorn srichaphan (thailand)  28 mario ancic (croatia)  29 taylor dent (us)  30 thomas johansson (sweden)  31 juan carlos ferrero (spain)  32 jurgen melzer (austria)  1 lindsay davenport (us)  2 amelie mauresmo (france)  3 anastasia myskina (russia)  4 maria sharapova (russia)  5 svetlana kuznetsova (russia)  6 elena dementieva (russia)  7 serena williams (us)  8 venus williams (us)  9 vera zvonareva (russia)  10 alicia molik (australia)  11 nadia petrova (russia)  12 patty schnyder (switzerland)  13 karolina sprem (croatia)  14 francesca schiavone (italy)  15 silvia farina elia (italy)  16 ai sugiyama (japan)  17 fabiola zuluaga (colombia)  18 elena likhovtseva (russia)  19 nathalie dechy (france)  20 tatiana golovin (france)  21 amy frazier (us)  22 magdalena maleeva (bulgaria)  23 jelena jankovic (serbia and montenegro)  24 mary pierce (france)  25 lisa raymond (us)  26 daniela hantuchova (slovakia)  27 anna smashnova (israel)  28 shinobu asagoe (japan)  29 gisela dulko (argentina)  30 flavia pennetta (italy)  31 jelena kostanic (croatia)  32 iveta benesova (czech republic),sport
466,philippoussis doubt over open bid mark philippoussis is almost certain to miss the australian open after suffering a groin injury during the hopman cup loss to the netherlands.  the 28-year-old suffered two tears to the adductor muscle and was unable to play in the deciding mixed doubles. he is now unlikely to be fit in time for the australian open which begins on 17 january in melbourne.  he has to strengthen it enough to cope with repetitive days of tennis   said hopman cup doctor hamish osborne.  it would be very unlikely in my opinion for him to do a five-setter once  let alone two days in a row  inside two weeks.   the injury is more common in australian rules football  and a fit footballer would normally take three to four weeks to recover fully although mark s injury is slightly different.  the australian has suffered a host of injury problems throughout his career but is still holding out slim hope that he can make the event.  it s something i ll have to go by feel. i ll start treatment as soon as possible and try to strengthen it without tearing it any more   he said.  what doesn t kill you makes you stronger. i know i can come back from this and that s all that matters.  - former world number two tommy haas is also a doubt for the australian open after picking up a thigh injury playing for germany in the hopman cup. the 26-year-old had treatment on his left thigh while leading argentine guillermo coria 7-5 2-2. he played one more game  but his movement was hampered and he quit.,sport
